Benchmark,Source File,Optimized File,Root Struct,Preprocess Result,Time Seconds,Message
matPow_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matPow_test_llzk/matPow_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matPow_test.llzk,matPow_3,success,0.139229,
matScalarAdd_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matScalarAdd_test_llzk/matScalarAdd_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matScalarAdd_test.llzk,matScalarAdd_0,success,0.051679,
matScalarMul_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matScalarMul_test_llzk/matScalarMul_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matScalarMul_test.llzk,matScalarMul_0,success,0.053842,
matScalarSub_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matScalarSub_test_llzk/matScalarSub_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matScalarSub_test.llzk,matScalarSub_0,success,0.051045,
matSub_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/matSub_test_llzk/matSub_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/matSub_test.llzk,matSub_0,success,0.052684,
millerloop_35_11,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/millerloop_35_11_llzk/millerloop_35_11.llzk,,MillerLoop1_55,error,3.440892,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/millerloop_35_11_llzk/millerloop_35_11.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %nondet_502, %arg6 = %553) : (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) -> (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/millerloop_35_11_llzk/millerloop_35_11.llzk:2270:14: note: see curren"
mimc_sponge_hash_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mimc_sponge_hash_test_llzk/mimc_sponge_hash_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mimc_sponge_hash_test.llzk,MiMCSponge_1,success,0.219785,
mimc_sponge_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mimc_sponge_test_llzk/mimc_sponge_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mimc_sponge_test.llzk,MiMCFeistel_0,success,0.255137,
mimc_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mimc_test_llzk/mimc_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mimc_test.llzk,MiMC7_0,success,0.135068,
mnist_convnet_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mnist_convnet_test_llzk/mnist_convnet_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mnist_convnet_test.llzk,mnist_convnet_21,success,0.706058,
mnist_latest_precision_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mnist_latest_precision_test_llzk/mnist_latest_precision_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mnist_latest_precision_test.llzk,mnist_latest_precision_29,success,0.868617,
mnist_latest_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mnist_latest_test_llzk/mnist_latest_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mnist_latest_test.llzk,mnist_latest_25,success,0.828857,
mnist_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mnist_test_llzk/mnist_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mnist_test.llzk,mnist_20,success,0.333557,
model1_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/model1_test_llzk/model1_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/model1_test.llzk,model1_14,success,0.199973,
montgomery2edwards,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/montgomery2edwards_llzk/montgomery2edwards.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/montgomery2edwards.llzk,Montgomery2Edwards_0,success,0.049780,
montgomeryadd,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/montgomeryadd_llzk/montgomeryadd.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/montgomeryadd.llzk,MontgomeryAdd_0,success,0.053118,
montgomerydouble,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/montgomerydouble_llzk/montgomerydouble.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/montgomerydouble.llzk,MontgomeryDouble_0,success,0.053034,
mul_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mul_test_llzk/mul_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mul_test.llzk,Mul_1,success,0.465425,
mux1_1,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mux1_1_llzk/mux1_1.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mux1_1.llzk,Main_4,success,0.068116,
mux2_1,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mux2_1_llzk/mux2_1.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mux2_1.llzk,Main_4,success,0.078751,
mux3_1,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mux3_1_llzk/mux3_1.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mux3_1.llzk,Main_4,success,0.090269,
mux4_1,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mux4_1_llzk/mux4_1.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mux4_1.llzk,Main_4,success,0.122975,
mux_decode,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mux_decode_llzk/mux_decode.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mux_decode.llzk,Decoder_0,success,0.050447,
mux_ep,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/mux_ep_llzk/mux_ep.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/mux_ep.llzk,EscalarProduct_0,success,0.050304,
outer_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/outer_test_llzk/outer_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/outer_test.llzk,outer_0,success,0.052229,
pad_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/pad_test_llzk/pad_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/pad_test.llzk,Pad_0,success,0.075207,
pointbits_loopback,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/pointbits_loopback_llzk/pointbits_loopback.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/pointbits_loopback.llzk,Main_9,success,0.149901,
pubkeygen,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/pubkeygen_llzk/pubkeygen.llzk,,ECDSAPrivToPub_30,error,28.303155,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/pubkeygen_llzk/pubkeygen.llzk:2029:16: warning: failed to transform op: could not identify an upper bound
      %410:2 = scf.while (%arg5 = %409, %arg6 = %407) : (!felt.type<""bn128"">, !felt.type<""bn128"">) -> (!felt.type<""bn128"">, !felt.type<""bn128"">) {
               ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/pubkeygen_llzk/pubkeygen.llzk:2029:16: note: see current operation: 
%414:2 = scf.while (%arg5 = %413, %arg6 = %411) : (!f"
queryTest,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/queryTest_llzk/queryTest.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/queryTest.llzk,Query_9,success,0.141533,
quinGeneratePathIndices_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/quinGeneratePathIndices_test_llzk/quinGeneratePathIndices_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/quinGeneratePathIndices_test.llzk,QuinGeneratePathIndices_3,success,0.083173,
quinSelector_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/quinSelector_test_llzk/quinSelector_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/quinSelector_test.llzk,QuinSelector_5,success,0.082768,
rhopi_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/rhopi_test_llzk/rhopi_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/rhopi_test.llzk,RhoPi_74,success,1.015659,
sign_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/sign_test_llzk/sign_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/sign_test.llzk,Sign_2,success,0.075081,
splicer_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/splicer_test_llzk/splicer_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/splicer_test.llzk,Splicer_9,success,0.127248,
squeeze_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/squeeze_test_llzk/squeeze_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/squeeze_test.llzk,Squeeze_0,success,0.052897,
subgroupcheckG1,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/subgroupcheckG1_llzk/subgroupcheckG1.llzk,,SubgroupCheckG1_60,error,3.344275,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/subgroupcheckG1_llzk/subgroupcheckG1.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %nondet_502, %arg6 = %553) : (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) -> (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/subgroupcheckG1_llzk/subgroupcheckG1.llzk:2270:14: note: see current op"
sum_test,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/sum_test_llzk/sum_test.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/sum_test.llzk,A_3,success,0.079506,
test_bigadd_15,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigadd_15_llzk/test_bigadd_15.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigadd_15.llzk,BigAdd_4,success,0.082526,
test_bigadd_23,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigadd_23_llzk/test_bigadd_23.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigadd_23.llzk,BigAdd_4,success,0.082833,
test_biglessthan_23,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_biglessthan_23_llzk/test_biglessthan_23.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_biglessthan_23.llzk,BigLessThan_6,success,0.150334,
test_bigmod_22,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigmod_22_llzk/test_bigmod_22.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigmod_22.llzk,BigMod_16,success,1.127600,
test_bigmod_32,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigmod_32_llzk/test_bigmod_32.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigmod_32.llzk,BigMod_16,success,1.162831,
test_bigmult_21,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigmult_21_llzk/test_bigmult_21.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigmult_21.llzk,BigMult_4,success,0.109814,
test_bigmult_22,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigmult_22_llzk/test_bigmult_22.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigmult_22.llzk,BigMult_4,success,0.157409,
test_bigmult_23,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigmult_23_llzk/test_bigmult_23.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigmult_23.llzk,BigMult_4,success,0.169844,
test_bigsub_15,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigsub_15_llzk/test_bigsub_15.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigsub_15.llzk,BigSub_6,success,0.087779,
test_bigsub_23,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigsub_23_llzk/test_bigsub_23.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigsub_23.llzk,BigSub_6,success,0.087350,
test_bigsubmodp_32,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bigsubmodp_32_llzk/test_bigsubmodp_32.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_bigsubmodp_32.llzk,BigSubModP_10,success,0.108798,
test_bls12-381_add,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bls12-381_add_llzk/test_bls12-381_add.llzk,,EllipticCurveAddUnequal_20,error,1.534037,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bls12-381_add_llzk/test_bls12-381_add.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %553, %arg6 = %nondet_502) : (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) -> (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bls12-381_add_llzk/test_bls12-381_add.llzk:2270:14: note: se"
test_bls12-381_double,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bls12-381_double_llzk/test_bls12-381_double.llzk,,EllipticCurveDouble_29,error,2.079688,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bls12-381_double_llzk/test_bls12-381_double.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %553, %arg6 = %nondet_502) : (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) -> (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_bls12-381_double_llzk/test_bls12-381_double.llzk:2270:"
test_ecdsa,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_ecdsa_llzk/test_ecdsa.llzk,,ECDSAPrivToPub_30,error,28.150417,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_ecdsa_llzk/test_ecdsa.llzk:2029:16: warning: failed to transform op: could not identify an upper bound
      %410:2 = scf.while (%arg5 = %407, %arg6 = %409) : (!felt.type<""bn128"">, !felt.type<""bn128"">) -> (!felt.type<""bn128"">, !felt.type<""bn128"">) {
               ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_ecdsa_llzk/test_ecdsa.llzk:2029:16: note: see current operation: 
%414:2 = scf.while (%arg5 = %411, %arg6 = %413) :"
test_ecdsa_verify,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_ecdsa_verify_llzk/test_ecdsa_verify.llzk,,ECDSAVerifyNoPubkeyCheck_57,error,48.482615,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_ecdsa_verify_llzk/test_ecdsa_verify.llzk:2890:17: warning: failed to transform op: could not identify an upper bound
        %1024 = scf.while (%arg6 = %1023) : (!felt.type<""bn128"">) -> !felt.type<""bn128""> {
                ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_ecdsa_verify_llzk/test_ecdsa_verify.llzk:2890:17: note: see current operation: 
%1027 = scf.while (%arg6 = %1026) : (!felt.type<""bn128"">) -> !felt.type<""bn1"
test_fp12_add_22,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_add_22_llzk/test_fp12_add_22.llzk,/Users/raghav/Veridise/LLEQ/examples/circom-demo/test_fp12_add_22.llzk,Fp12Add_16,success,0.184616,
test_fp12_compression_32,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_compression_32_llzk/test_fp12_compression_32.llzk,,test_46,error,2.653165,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_compression_32_llzk/test_fp12_compression_32.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %553, %arg6 = %nondet_502) : (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) -> (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_compression_32_llzk/test_fp12_compression_3"
test_fp12_cyclotomicExp_32,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_cyclotomicExp_32_llzk/test_fp12_cyclotomicExp_32.llzk,,Fp12CyclotomicExp_66,error,3.513594,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_cyclotomicExp_32_llzk/test_fp12_cyclotomicExp_32.llzk:2768:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %nondet_502, %arg6 = %553) : (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) -> (!array.type<50 x !felt.type<""bn128"">>, !felt.type<""bn128"">) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_cyclotomicExp_32_llzk/test_fp12_cycloto"
test_fp12_cyclotomicSquare_32,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_cyclotomicSquare_32_llzk/test_fp12_cyclotomicSquare_32.llzk,,Fp12CyclotomicSquare_17,error,1.109076,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_cyclotomicSquare_32_llzk/test_fp12_cyclotomicSquare_32.llzk:2768:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %553, %arg6 = %nondet_502) : (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) -> (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_cyclotomicSquare_32_llzk/test_fp1"
test_fp12_invert_42,/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_invert_42_llzk/test_fp12_invert_42.llzk,,Fp12Invert_15,error,1.929146,"/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_invert_42_llzk/test_fp12_invert_42.llzk:2270:14: warning: failed to transform op: could not identify an upper bound
    %554:2 = scf.while (%arg5 = %553, %arg6 = %nondet_502) : (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) -> (!felt.type<""bn128"">, !array.type<50 x !felt.type<""bn128"">>) {
             ^
/Users/raghav/Veridise/circom-benchmarks/llzk-outputs/test_fp12_invert_42_llzk/test_fp12_invert_42.llzk:2270:14: note"
